label	fix
A/Valencia/10_1338_20200210	A/Valencia/10_1338/2020
A/Valencia/10_1374_20200212	A/Valencia/10_1374/2020
A/Valencia/10_1419_20200217	A/Valencia/10_1419/2020
A/Valencia/10_1422_20200217	A/Valencia/10_1422/2020
A/Valencia/10_1585_20200228	A/Valencia/10_1585/2020
A/Valencia/10_1722_20200310	A/Valencia/10_1722/2020
A/Valencia/10_1964_20190326	A/Valencia/10_1964/2019
A/WildbirdsGuineafowlMakouEgyptianGeese/SouthAfrica/S2017/080275P1/2017	A/WildbirdsGuineafowlMakouEgyptianGeese/SouthAfrica/S2017080275P1/2017
A/Zuerich/19495823/2016	A/Zurich/19495823/2016
A/barnaclegoose/Sweden/SVA201117SZ0468/KN003355/2020	A/barnaclegoose/Sweden/SVA201117SZ0468KN003355/2020
A/chicken/Bulgaria/Dobrich/12-1/2018	A/chicken/Dobrich/12-1/2018
A/chicken/China/HSS2004	A/chicken/China/HSS/2004
A/chicken/Czech_Republic/29392021	A/chicken/Czech_Republic/2939/2021
A/chicken/F611/Egypt/2015(H5N1)	A/chicken/Egypt/F611/2015
A/chicken/G_Karachi/2003	A/chicken/Karachi/G/2003
A/chicken/Gujrat/India/3697/2004	A/chicken/GujratIndia/3697/2004
A/chicken/Iarah/1376/03	A/chicken/Iarah/1376/2003
A/chicken/Iran/12VIR/9630/1998	A/chicken/Iran/12VIR_9630/1998
A/chicken/Iran221/01	A/chicken/Iran/221/2001
A/chicken/Iran222/00	A/chicken/Iran/222/2000
A/chicken/Iran26/00	A/chicken/Iran/26/2000
A/chicken/Iran261/01	A/chicken/Iran/261/2001
A/chicken/Iran327/00	A/chicken/Iran/327/2000
A/chicken/Iran353/98	A/chicken/Iran/353/1998
